id,title,content,comment_time,stock_name,quantity,transaction_type,price_per_share,transaction_date,profit
102230854,가즈아,다음주 랠리~~ 사나이들 ㄱㄱ,2025-03-14T16:43:42+09:00,,,,,,
102228186,,ㅋㅋ ㅎㅎ,2025-03-14T16:07:58+09:00,SK하이닉스,58.0,판매,205000.0,3월 14일 15:14,"+796,499원 (7.1%)"
102227628,,담주에 또올게에,2025-03-14T16:01:12+09:00,SK하이닉스,1.0,판매,205250.0,3월 14일 14:04,"+3,750원 (1.8%)"
102226658,나도 수익인증.?,일단 이번달,2025-03-14T15:48:36+09:00,,,,,,
102226114,오늘 괜찮았네요,어제 미장이 안좋았는데 엔비디아는 굳건히 지켜주더니 오늘 하이닉스에 외인과 기관이 모두 매수해줬네요 다음주에 엔비디아 쪽에서 큰 이벤트가 있는걸로 알고 있는데 다시 수급이 반도체쪽으로 크게 오기를 기대하면서 홀딩!! 다음주 목요일까지는 홀딩해봐야겠습니다 오늘도 수고하셨습니다,2025-03-14T15:41:53+09:00,,,,,,
102225236,소소하게 줄먹,ㅜㅜ,2025-03-14T15:31:22+09:00,SK하이닉스,10.0,판매,204500.0,3월 14일 15:30,"+111,200원 (5.7%)"
102224232,참았다 ㅋ,참는자에게 복이 있나니~,2025-03-14T15:21:45+09:00,,,,,,
102223500,,너무 쪼여서 잠시 휴식을~~,2025-03-14T15:15:24+09:00,SK하이닉스,8.0,판매,205500.0,3월 14일 14:04,"+23,467원 (1.4%)"
102221680,세계는 지금,"1. 캐나다 신임 종리, 프랑스•영국 순방 계획. - 영국•프랑스 로스차일드와 협력하여 트럼프•머스크 세력과 맞서기 위한 것. 경기침체 장기화 될수도... 2. G7 장관회의 참석한 미 국무장관 루비오, 캐나다가 초미니 레드카펫으로 물맥여... - 캐나다가 한가닥 하나요??? 3. 트럼프가, 바이낸스 지분 확보 논의 - 트럼프미디어나 살려내, 다 죽게 생겼어! 4. 셧다운은 피할듯, 미상원 지도부 트럼프에 협력하기로 - 오늘이늬~~~??",2025-03-14T15:00:32+09:00,,,,,,
102221064,,영차,2025-03-14T14:55:37+09:00,,,,,,
102220684,장마감 3시 30분 맞죠?,세시인줄,2025-03-14T14:52:53+09:00,,,,,,
102219768,,월요일 까지 안팔고 기대해봐야겠네,2025-03-14T14:46:06+09:00,,,,,,
102219250,,"근본없는 거품주식 엔비디아대신 삼성정자,하이니스 삼",2025-03-14T14:42:09+09:00,,,,,,
102218456,,오를때 먹고나와요..,2025-03-14T14:35:26+09:00,,,,,,
102217786,,절반은 놓고갑니다~,2025-03-14T14:29:58+09:00,SK하이닉스,57.0,판매,205000.0,3월 14일 13:23,"527,802원 (15.0%)"
102217290,,왜 오르는거에요?,2025-03-14T14:24:45+09:00,,,,,,
102215924,,20만 넘었는데 왜 250원씩 움직이나요? 뭐 바뀌었나요?,2025-03-14T14:12:18+09:00,,,,,,
102214756,,담주한번만 더 쏴주라 오늘 팔기는 싫다.,2025-03-14T14:02:54+09:00,,,,,,
102213900,기다려,기다려.,2025-03-14T13:55:11+09:00,,,,,,
102213598,,21만 가즈악,2025-03-14T13:52:26+09:00,,,,,,
102212576,,역시 오후닉스.. 210000까지와줘 🥰,2025-03-14T13:43:51+09:00,,,,,,
102211046,,3주 물려있다가 무서워서 나감 익절~!,2025-03-14T13:29:15+09:00,SK하이닉스,147.0,판매,201500.0,3월 14일 09:18,"+363,800원 (1.2%)"
102210488,,주식 호가창 보고있는게 지나고나면 가장 아까운시간입니다. 다른 일들 보세요.,2025-03-14T13:24:34+09:00,,,,,,
102209432,,누가 5000원 선에 결계쳐놨나,2025-03-14T13:14:47+09:00,,,,,,
102209184,,.,2025-03-14T13:12:17+09:00,SK하이닉스,1.0,구매,205000.0,3월 14일 13:12,
102208938,닉스,닉스짱,2025-03-14T13:09:43+09:00,SK하이닉스,27.0,구매,204000.0,3월 14일 13:08,
102208522,,힘이없네 호재가있는데,2025-03-14T13:04:56+09:00,,,,,,
102205770,,금욜이라 3시에 팔고 다시 들어와야겠다,2025-03-14T12:38:29+09:00,,,,,,
102205178,,205위로 올라가자ㅜㅜ,2025-03-14T12:32:54+09:00,,,,,,
102204312,가즈아,힘 좋다 오늘,2025-03-14T12:24:12+09:00,,,,,,
102203196,욕심안부리고 여기서 만족,박수칠때 떠납니다,2025-03-14T12:13:10+09:00,SK하이닉스,282.0,판매,205000.0,3월 14일 11:55,"429,000원 (4.3%)"
102202334,,나 하이닉스 좋아하는데 지금 위치 좀 쎄하다,2025-03-14T12:05:05+09:00,,,,,,
102202040,,국장만 아니었어도 주가 두배는 올랐겠다,2025-03-14T12:02:09+09:00,,,,,,
102201850,,이제 평단이넹ㅠ,2025-03-14T12:00:22+09:00,,,,,,
102201482,,제 평단 넘겨 점심값이라도 생기는 날이 오네요. 소심이는 다음을 기약해봅니다.,2025-03-14T11:56:31+09:00,SK하이닉스,20.0,판매,204500.0,3월 14일 11:50,"+24,977원 (0.6%)"
102201446,,와 드뎌 탈출,2025-03-14T11:56:11+09:00,,,,,,
102201400,,공매도 부활되면 한국주식의 전망이 어떻습니까?,2025-03-14T11:55:44+09:00,,,,,,
102201344,,또올게요~ 😘,2025-03-14T11:55:16+09:00,SK하이닉스,20.0,판매,204500.0,3월 14일 11:50,"+394,000원 (10.6%)"
102201272,,우와 !!! 이게 뭔일이에요??,2025-03-14T11:54:32+09:00,,,,,,
102201206,다시 올께요!!!,다들 성투 하세요!!!,2025-03-14T11:54:05+09:00,SK하이닉스,6.0,판매,204500.0,3월 14일 11:50,"+87,900원 (7.7%)"
102201132,,감사,2025-03-14T11:53:26+09:00,,,,,,
102200988,,맨날 들어만가면 물리고 또 좀 존버하다 걍 팔아버렸내요ㅜㅜ 어려분은 많이 드세요 나중에 올게요,2025-03-14T11:52:07+09:00,SK하이닉스,85.0,판매,205000.0,3월 14일 11:50,"+414,500원 (2.4%)"
102200876,,믿을수없다. 내 평단올 때 걸어둔게 탈출되다니,2025-03-14T11:50:57+09:00,SK하이닉스,1.0,판매,204500.0,3월 14일 11:50,
102200610,,"20일 양자의 날, 우리 슨황이 말 잘 해서 한번 더 떡상 가자",2025-03-14T11:48:35+09:00,,,,,,
102200550,오오 4천원 벽,생각보다 빨리 뚫었네 이제 털사람 털었음 더 가보자~~ 📈,2025-03-14T11:48:09+09:00,,,,,,
102200242,다들 화이팅,다음에 또 올게요,2025-03-14T11:44:25+09:00,SK하이닉스,85.0,판매,204500.0,3월 14일 11:42,"+564,800원 (3.3%)"
